,rno,name,gender,courses,marks1,marks2
78,79,Student79,M,BTECH,63,98
79,80,Student80,F,BTECH,44,80
80,81,Student81,M,MBA,45,88
81,82,Student82,F,MBA,64,27
82,83,Student83,F,BTECH,88,50
83,84,Student84,F,MBA,12,66
84,85,Student85,F,MBA,55,63
85,86,Student86,F,MBA,61,67
86,87,Student87,F,MBA,30,35
87,88,Student88,F,BTECH,96,50
88,89,Student89,F,MBA,17,77
89,90,Student90,M,BTECH,70,4
90,91,Student91,F,BTECH,56,80
91,92,Student92,M,BTECH,48,5
92,93,Student93,M,MBA,45,23
93,94,Student94,M,MBA,19,85
94,95,Student95,F,MTECH,61,75
95,96,Student96,F,MTECH,26,94
96,97,Student97,F,MTECH,77,56
97,98,Student98,M,MTECH,21,52
98,99,Student99,M,MBA,84,29
99,100,Student100,F,BBA,83,28
100,101,Student101,F,BBA,16,42
101,102,Student102,M,BTECH,41,6
102,103,Student103,F,BTECH,80,82
103,104,Student104,M,MBA,68,83
104,105,Student105,F,MBA,87,77
105,106,Student106,F,BBA,54,95
106,107,Student107,F,BTECH,92,85
107,108,Student108,M,MBA,60,31
108,109,Student109,F,MBA,59,84
109,110,Student110,F,MTECH,83,24
110,111,Student111,F,MTECH,63,61
111,112,Student112,M,BBA,49,47
112,113,Student113,F,MTECH,62,29
113,114,Student114,M,BBA,19,10
114,115,Student115,M,BTECH,31,44
115,116,Student116,M,MTECH,29,90
116,117,Student117,M,MBA,62,5
117,118,Student118,M,MTECH,98,49
118,119,Student119,M,MTECH,97,70
119,120,Student120,F,BTECH,28,78
120,121,Student121,M,BBA,33,31
121,122,Student122,F,MBA,97,54
122,123,Student123,M,MBA,96,79
123,124,Student124,F,BBA,22,23
124,125,Student125,F,MTECH,55,48
125,126,Student126,M,BTECH,54,8
126,127,Student127,F,BBA,16,13
127,128,Student128,M,MBA,35,42
128,129,Student129,M,MTECH,84,85
129,130,Student130,F,BBA,45,83
130,131,Student131,F,BBA,9,38
131,132,Student132,M,MTECH,66,38
132,133,Student133,M,MBA,60,10
133,134,Student134,M,MBA,97,50
134,135,Student135,M,BBA,61,6
135,136,Student136,M,MBA,32,62
136,137,Student137,M,BTECH,6,93
137,138,Student138,F,MTECH,6,49
138,139,Student139,M,BBA,99,13
139,140,Student140,F,BBA,31,4
140,141,Student141,F,MBA,55,8
141,142,Student142,M,MTECH,12,69
142,143,Student143,M,MTECH,86,92
143,144,Student144,F,BBA,29,76
144,145,Student145,F,BBA,81,78
145,146,Student146,F,MBA,24,100
146,147,Student147,M,MBA,58,58
147,148,Student148,F,MBA,59,2
148,149,Student149,M,MBA,99,55
149,150,Student150,F,MTECH,4,9
150,151,Student151,F,BTECH,67,79
151,152,Student152,M,MTECH,41,66
152,153,Student153,F,MBA,33,85
153,154,Student154,F,MBA,8,94
154,155,Student155,F,BTECH,15,9
155,156,Student156,F,MTECH,23,0
156,157,Student157,M,MBA,13,78
157,158,Student158,F,BBA,40,2
158,159,Student159,F,BBA,37,18
159,160,Student160,M,BBA,75,49
160,161,Student161,F,BTECH,54,12
161,162,Student162,M,BTECH,12,8
162,163,Student163,M,MBA,2,9
163,164,Student164,M,MBA,65,99
164,165,Student165,F,BTECH,48,4
165,166,Student166,F,BBA,43,40
166,167,Student167,M,MTECH,60,89
167,168,Student168,F,MTECH,68,92
168,169,Student169,M,BBA,57,26
169,170,Student170,F,MTECH,9,19
170,171,Student171,F,MTECH,78,37
171,172,Student172,F,BBA,6,70
172,173,Student173,M,BBA,41,42
173,174,Student174,F,BTECH,38,64
174,175,Student175,F,MTECH,15,61
175,176,Student176,F,MTECH,47,88
176,177,Student177,M,BTECH,19,2
177,178,Student178,M,BBA,74,64
178,179,Student179,F,MTECH,8,34
179,180,Student180,F,MTECH,30,24
180,181,Student181,M,MTECH,90,84
181,182,Student182,F,MBA,10,3
182,183,Student183,M,MTECH,86,37
183,184,Student184,M,BBA,8,69
184,185,Student185,M,MTECH,32,43
185,186,Student186,F,BTECH,70,57
186,187,Student187,F,BBA,46,50
187,188,Student188,M,BTECH,12,9
188,189,Student189,F,BTECH,45,44
189,190,Student190,F,BTECH,71,84
190,191,Student191,F,MTECH,77,15
191,192,Student192,M,MBA,84,64
192,193,Student193,M,MBA,41,37
193,194,Student194,F,MTECH,73,74
194,195,Student195,F,BTECH,52,12
195,196,Student196,M,BBA,7,41
196,197,Student197,M,MBA,10,78
197,198,Student198,F,MTECH,60,16
198,199,Student199,M,MBA,100,56
199,200,Student200,M,MBA,29,6
200,201,Student201,F,MBA,12,52
201,202,Student202,M,BBA,45,19
202,203,Student203,M,BTECH,39,17
203,204,Student204,M,MTECH,63,76
204,205,Student205,F,BBA,37,39
205,206,Student206,M,BBA,26,85
206,207,Student207,M,BTECH,97,22
207,208,Student208,M,MTECH,9,45
208,209,Student209,M,BBA,71,87
209,210,Student210,M,BBA,63,15
210,211,Student211,M,MBA,38,84
211,212,Student212,F,BTECH,85,96
212,213,Student213,F,BTECH,41,45
213,214,Student214,F,MBA,68,91
214,215,Student215,M,MBA,21,12
215,216,Student216,M,MBA,89,42
216,217,Student217,F,MBA,88,27
217,218,Student218,M,MBA,16,60
218,219,Student219,M,BTECH,17,13
219,220,Student220,M,MTECH,82,84
220,221,Student221,F,BTECH,87,37
221,222,Student222,F,MBA,85,30
222,223,Student223,F,MTECH,48,1
223,224,Student224,M,BBA,43,13
224,225,Student225,M,MTECH,61,91
225,226,Student226,F,BTECH,92,86
226,227,Student227,M,BTECH,58,39
227,228,Student228,F,MBA,0,27
228,229,Student229,M,BBA,40,36
229,230,Student230,F,BTECH,26,82
230,231,Student231,F,MTECH,20,60
231,232,Student232,M,BTECH,100,61
232,233,Student233,F,BBA,51,74
233,234,Student234,M,BTECH,92,39
234,235,Student235,F,BTECH,68,22
235,236,Student236,F,BBA,41,58
236,237,Student237,M,BBA,92,33
237,238,Student238,M,MTECH,41,80
238,239,Student239,M,MBA,96,29
239,240,Student240,F,BTECH,25,71
240,241,Student241,M,BBA,66,54
241,242,Student242,F,MTECH,92,68
242,243,Student243,F,MBA,2,49
243,244,Student244,F,MBA,73,37
244,245,Student245,F,BTECH,11,90
245,246,Student246,M,BTECH,33,64
246,247,Student247,M,MTECH,29,69
247,248,Student248,M,BTECH,42,75
248,249,Student249,M,BTECH,78,33
249,250,Student250,F,BBA,91,5
250,251,Student251,M,BBA,79,72
251,252,Student252,M,MBA,2,93
252,253,Student253,M,MTECH,34,29
253,254,Student254,F,BTECH,52,53
254,255,Student255,F,BBA,13,66
255,256,Student256,M,BBA,77,27
256,257,Student257,F,BTECH,14,61
257,258,Student258,F,BTECH,12,26
258,259,Student259,F,BTECH,23,56
259,260,Student260,M,MBA,3,59
260,261,Student261,F,BTECH,83,10
261,262,Student262,M,BBA,42,48
262,263,Student263,M,MTECH,8,61
263,264,Student264,F,BTECH,61,25
264,265,Student265,F,MBA,36,22
265,266,Student266,M,BTECH,81,38
266,267,Student267,F,MTECH,51,68
267,268,Student268,M,MBA,38,39
268,269,Student269,F,BTECH,61,85
269,270,Student270,F,BTECH,95,24
270,271,Student271,M,MBA,30,42
271,272,Student272,M,BTECH,44,45
272,273,Student273,F,BTECH,13,71
273,274,Student274,F,BTECH,5,2
274,275,Student275,F,MTECH,100,3
275,276,Student276,F,MTECH,43,49
276,277,Student277,F,BTECH,12,15
277,278,Student278,M,BTECH,81,83
278,279,Student279,F,MTECH,33,5
279,280,Student280,F,MBA,92,11
280,281,Student281,F,BTECH,13,72
281,282,Student282,M,BBA,37,20
282,283,Student283,M,MBA,51,40
283,284,Student284,F,MTECH,89,81
284,285,Student285,M,BTECH,81,48
285,286,Student286,F,MTECH,12,35
286,287,Student287,F,MBA,19,79
287,288,Student288,F,MTECH,52,49
288,289,Student289,M,BBA,71,13
289,290,Student290,M,BBA,10,48
290,291,Student291,F,BTECH,11,98
291,292,Student292,M,BBA,83,64
292,293,Student293,F,MTECH,18,86
293,294,Student294,F,BTECH,46,85
294,295,Student295,F,MBA,47,4
295,296,Student296,F,BTECH,35,55
296,297,Student297,F,BBA,90,15
297,298,Student298,F,MBA,18,82
298,299,Student299,F,BBA,47,70
299,300,Student300,M,MBA,14,11
300,301,Student301,M,BTECH,44,99
301,302,Student302,F,MBA,56,36
302,303,Student303,F,BTECH,100,56
303,304,Student304,F,MTECH,23,86
304,305,Student305,M,MBA,62,80
305,306,Student306,F,BTECH,41,27
306,307,Student307,M,BBA,47,92
307,308,Student308,M,BTECH,19,76
308,309,Student309,F,MBA,87,89
309,310,Student310,F,BTECH,23,44
310,311,Student311,M,BTECH,65,75
311,312,Student312,M,MTECH,36,2
312,313,Student313,M,MTECH,15,0
313,314,Student314,F,BTECH,43,90
314,315,Student315,M,BTECH,41,45
315,316,Student316,F,MTECH,98,85
316,317,Student317,F,BBA,4,37
317,318,Student318,F,BTECH,85,52
318,319,Student319,M,MTECH,36,14
319,320,Student320,M,MBA,54,15
320,321,Student321,M,BTECH,4,57
321,322,Student322,F,MTECH,36,56
322,323,Student323,F,MBA,39,77
323,324,Student324,F,MBA,56,53
324,325,Student325,F,BTECH,7,3
325,326,Student326,F,BTECH,27,44
326,327,Student327,F,BTECH,10,31
327,328,Student328,F,MBA,16,76
328,329,Student329,M,MTECH,24,82
329,330,Student330,M,MBA,71,34
330,331,Student331,F,MBA,76,96
331,332,Student332,F,BTECH,40,59
332,333,Student333,M,MBA,13,92
333,334,Student334,M,MBA,21,31
334,335,Student335,F,BTECH,12,22
335,336,Student336,M,BBA,26,98
336,337,Student337,F,MBA,75,16
337,338,Student338,F,MBA,49,12
338,339,Student339,F,BTECH,78,26
339,340,Student340,F,MBA,14,47
340,341,Student341,F,MTECH,65,78
341,342,Student342,M,MTECH,83,71
342,343,Student343,F,MTECH,47,17
343,344,Student344,M,BBA,78,37
344,345,Student345,M,BTECH,52,2
345,346,Student346,F,MBA,82,82
346,347,Student347,M,MBA,61,9
347,348,Student348,M,MTECH,47,22
348,349,Student349,M,BTECH,46,34
349,350,Student350,F,MBA,63,36
350,351,Student351,M,MBA,51,37
351,352,Student352,F,MTECH,17,84
352,353,Student353,F,BBA,79,82
353,354,Student354,F,MBA,68,12
354,355,Student355,F,MTECH,58,47
355,356,Student356,F,BTECH,46,65
356,357,Student357,F,BBA,34,30
357,358,Student358,M,BTECH,20,64
358,359,Student359,M,MBA,100,19
359,360,Student360,M,MBA,48,80
360,361,Student361,M,MTECH,100,24
361,362,Student362,F,MBA,94,62
362,363,Student363,M,BBA,48,61
363,364,Student364,F,MTECH,18,44
364,365,Student365,F,MBA,92,6
365,366,Student366,F,MBA,22,2
366,367,Student367,F,BTECH,21,69
367,368,Student368,F,MBA,69,79
368,369,Student369,M,MBA,79,32
369,370,Student370,M,BBA,13,26
370,371,Student371,M,BTECH,94,46
371,372,Student372,F,BTECH,100,35
372,373,Student373,M,BBA,8,9
373,374,Student374,M,MTECH,35,51
374,375,Student375,F,BTECH,86,88
375,376,Student376,M,BTECH,2,7
376,377,Student377,F,MBA,45,78
377,378,Student378,F,MBA,30,49
378,379,Student379,M,MTECH,83,55
379,380,Student380,M,BTECH,0,24
380,381,Student381,M,MTECH,100,69
381,382,Student382,F,BTECH,3,30
382,383,Student383,F,BTECH,71,94
383,384,Student384,F,MBA,49,32
384,385,Student385,F,BBA,3,49
385,386,Student386,F,BBA,83,88
386,387,Student387,M,MTECH,66,23
387,388,Student388,M,MBA,72,63
388,389,Student389,F,BTECH,37,28
389,390,Student390,F,BBA,50,49
390,391,Student391,M,MTECH,20,87
391,392,Student392,M,MBA,85,23
392,393,Student393,M,BBA,21,55
393,394,Student394,F,BTECH,11,94
394,395,Student395,M,BTECH,41,37
395,396,Student396,F,MTECH,52,14
396,397,Student397,M,MTECH,13,75
397,398,Student398,F,MBA,23,32
398,399,Student399,M,MTECH,19,67
399,400,Student400,M,MBA,37,64
400,401,Student401,M,MBA,38,24
401,402,Student402,F,BTECH,26,49
402,403,Student403,F,BBA,83,21
403,404,Student404,M,BBA,16,68
404,405,Student405,M,BBA,7,93
405,406,Student406,F,BBA,8,69
406,407,Student407,M,BBA,78,0
407,408,Student408,F,BTECH,92,45
408,409,Student409,F,BTECH,10,54
409,410,Student410,M,MTECH,50,16
410,411,Student411,M,BBA,52,17
411,412,Student412,M,BTECH,48,60
412,413,Student413,M,MBA,47,59
413,414,Student414,F,BBA,14,100
414,415,Student415,F,MTECH,38,66
415,416,Student416,M,MTECH,54,84
416,417,Student417,F,MTECH,39,59
417,418,Student418,F,MBA,11,74
418,419,Student419,M,BBA,43,36
419,420,Student420,M,MTECH,53,55
420,421,Student421,M,MBA,47,79
421,422,Student422,M,BTECH,46,12
422,423,Student423,F,MTECH,75,90
423,424,Student424,M,BBA,32,76
424,425,Student425,F,MTECH,68,23
425,426,Student426,M,BTECH,85,89
426,427,Student427,M,MBA,74,20
427,428,Student428,F,BBA,70,6
428,429,Student429,M,MBA,22,76
429,430,Student430,F,MBA,81,21
430,431,Student431,F,MBA,48,81
431,432,Student432,M,MTECH,3,85
432,433,Student433,M,BBA,66,41
433,434,Student434,F,BBA,65,79
434,435,Student435,F,MTECH,50,46
435,436,Student436,M,BBA,26,38
436,437,Student437,M,MBA,66,49
437,438,Student438,F,BTECH,19,39
438,439,Student439,F,MTECH,67,24
439,440,Student440,M,BTECH,51,17
440,441,Student441,F,MBA,78,66
441,442,Student442,F,BBA,76,38
442,443,Student443,F,MBA,62,30
443,444,Student444,F,BBA,12,30
444,445,Student445,F,BTECH,22,4
445,446,Student446,F,BBA,70,68
446,447,Student447,F,MBA,83,80
447,448,Student448,F,BBA,14,8
448,449,Student449,M,MBA,92,48
449,450,Student450,F,BBA,21,81
450,451,Student451,M,MTECH,93,83
451,452,Student452,F,MBA,30,32
452,453,Student453,M,MTECH,85,34
453,454,Student454,M,MTECH,48,44
454,455,Student455,M,BBA,95,41
455,456,Student456,F,MTECH,1,73
456,457,Student457,F,MBA,84,3
457,458,Student458,M,BTECH,59,73
458,459,Student459,F,MBA,0,94
459,460,Student460,M,BTECH,12,21
460,461,Student461,M,BTECH,25,32
461,462,Student462,F,MTECH,15,5
462,463,Student463,M,BBA,0,17
463,464,Student464,M,BTECH,8,17
464,465,Student465,F,MBA,88,16
465,466,Student466,M,BBA,98,60
466,467,Student467,M,BBA,95,6
467,468,Student468,M,MTECH,90,0
468,469,Student469,M,MTECH,5,95
469,470,Student470,M,BTECH,38,3
470,471,Student471,F,MTECH,90,69
471,472,Student472,M,BTECH,75,62
472,473,Student473,M,MBA,77,21
473,474,Student474,M,MBA,19,94
474,475,Student475,F,BTECH,65,69
475,476,Student476,M,BTECH,25,29
476,477,Student477,M,MTECH,11,85
477,478,Student478,F,MBA,56,63
478,479,Student479,M,MBA,44,32
479,480,Student480,M,MBA,56,52
480,481,Student481,M,MBA,33,22
481,482,Student482,M,MTECH,49,95
482,483,Student483,F,MBA,14,0
483,484,Student484,M,BTECH,25,58
484,485,Student485,M,MBA,14,43
485,486,Student486,F,MTECH,71,6
486,487,Student487,M,MBA,73,74
487,488,Student488,M,MBA,88,35
488,489,Student489,F,MBA,56,29
489,490,Student490,F,BTECH,85,68
490,491,Student491,F,MBA,69,33
491,492,Student492,F,BTECH,99,64
492,493,Student493,M,MBA,91,49
493,494,Student494,M,MBA,21,7
494,495,Student495,M,MBA,27,53
495,496,Student496,M,BBA,54,28
496,497,Student497,M,MBA,32,47
497,498,Student498,F,BBA,50,68
498,499,Student499,M,BTECH,17,42
499,500,Student500,F,BBA,77,98
500,501,Student501,M,BTECH,92,44
501,502,Student502,F,MBA,77,58
502,503,Student503,F,MTECH,42,47
503,504,Student504,M,MBA,32,26
504,505,Student505,M,BTECH,96,39
505,506,Student506,M,MBA,86,53
506,507,Student507,M,MTECH,12,24
507,508,Student508,F,MTECH,56,17
508,509,Student509,M,BTECH,5,1
509,510,Student510,F,MBA,50,8
510,511,Student511,M,MTECH,24,29
511,512,Student512,M,BTECH,98,45
512,513,Student513,F,MBA,44,90
513,514,Student514,F,BBA,54,51
514,515,Student515,F,MTECH,38,9
515,516,Student516,M,MBA,0,58
516,517,Student517,F,BBA,67,98
517,518,Student518,M,MTECH,37,55
518,519,Student519,M,MTECH,49,13
519,520,Student520,M,MBA,52,29
520,521,Student521,M,MTECH,55,66
521,522,Student522,F,BBA,50,56
522,523,Student523,M,MTECH,92,8
523,524,Student524,M,BBA,15,85
524,525,Student525,M,BBA,16,38
525,526,Student526,M,BBA,39,85
526,527,Student527,F,MTECH,38,20
527,528,Student528,M,MBA,3,49
528,529,Student529,F,BBA,41,44
529,530,Student530,F,BBA,19,91
530,531,Student531,M,BTECH,57,21
531,532,Student532,F,BBA,15,46
532,533,Student533,F,MBA,97,23
533,534,Student534,M,MBA,68,48
534,535,Student535,M,MBA,64,53
535,536,Student536,M,BTECH,76,10
536,537,Student537,F,BTECH,95,29
537,538,Student538,M,BTECH,19,57
538,539,Student539,F,MTECH,29,57
539,540,Student540,M,BTECH,41,21
540,541,Student541,F,BTECH,5,65
541,542,Student542,M,MBA,53,77
542,543,Student543,F,BTECH,4,32
543,544,Student544,M,BTECH,99,98
544,545,Student545,F,MTECH,89,12
545,546,Student546,F,MBA,95,25
546,547,Student547,M,MBA,47,25
547,548,Student548,M,BBA,95,39
548,549,Student549,F,BTECH,14,14
549,550,Student550,M,MBA,11,87
550,551,Student551,F,BBA,48,93
551,552,Student552,M,MBA,65,25
552,553,Student553,M,BTECH,53,6
553,554,Student554,M,BTECH,26,48
554,555,Student555,F,BBA,33,2
555,556,Student556,F,BBA,33,17
556,557,Student557,F,MBA,51,51
557,558,Student558,M,BBA,36,24
558,559,Student559,M,MTECH,52,65
559,560,Student560,F,MTECH,91,95
560,561,Student561,M,MBA,5,44
561,562,Student562,M,BTECH,66,45
562,563,Student563,M,BBA,11,93
563,564,Student564,M,MBA,39,14
564,565,Student565,M,BBA,38,35
565,566,Student566,F,MBA,5,31
566,567,Student567,F,MTECH,79,12
567,568,Student568,F,BTECH,41,71
568,569,Student569,F,BTECH,22,17
569,570,Student570,M,BTECH,6,30
570,571,Student571,F,BTECH,4,84
571,572,Student572,M,BBA,2,0
572,573,Student573,M,BBA,97,50
573,574,Student574,M,MBA,89,55
574,575,Student575,M,BTECH,0,94
575,576,Student576,M,MBA,51,70
576,577,Student577,M,MBA,80,47
577,578,Student578,F,BTECH,20,35
578,579,Student579,F,BTECH,48,46
579,580,Student580,F,BBA,55,100
580,581,Student581,F,BTECH,95,68
581,582,Student582,M,BTECH,86,98
582,583,Student583,F,MBA,7,4
583,584,Student584,M,MBA,46,45
584,585,Student585,M,MBA,6,48
585,586,Student586,M,MBA,22,50
586,587,Student587,M,MBA,48,66
587,588,Student588,F,MBA,31,81
588,589,Student589,F,MTECH,4,36
589,590,Student590,F,BTECH,12,77
590,591,Student591,M,BBA,48,72
591,592,Student592,F,BTECH,33,27
592,593,Student593,M,MTECH,33,2
593,594,Student594,M,BTECH,35,16
594,595,Student595,F,BBA,2,48
595,596,Student596,F,MBA,83,31
596,597,Student597,M,BBA,34,65
597,598,Student598,M,BBA,51,13
598,599,Student599,F,MBA,94,37
599,600,Student600,F,MBA,91,37
600,601,Student601,F,MBA,6,84
601,602,Student602,F,BBA,29,30
602,603,Student603,M,MTECH,89,74
603,604,Student604,F,BTECH,32,33
604,605,Student605,M,MTECH,90,57
605,606,Student606,F,BBA,10,29
606,607,Student607,M,MBA,51,5
607,608,Student608,F,MBA,98,82
608,609,Student609,M,BTECH,87,100
609,610,Student610,M,MTECH,57,89
610,611,Student611,F,MTECH,99,58
611,612,Student612,F,BBA,59,39
612,613,Student613,F,BTECH,1,1
613,614,Student614,M,MBA,1,47
614,615,Student615,F,MTECH,50,51
615,616,Student616,F,MBA,42,69
616,617,Student617,M,MTECH,5,57
617,618,Student618,M,MBA,53,6
618,619,Student619,F,MBA,37,9
619,620,Student620,M,BTECH,81,66
620,621,Student621,M,MBA,61,83
621,622,Student622,M,BBA,98,93
622,623,Student623,M,BTECH,22,6
623,624,Student624,M,BTECH,8,3
624,625,Student625,F,BTECH,32,57
625,626,Student626,F,BBA,98,1
626,627,Student627,M,MTECH,37,78
627,628,Student628,M,BBA,84,38
628,629,Student629,F,BBA,68,95
629,630,Student630,F,BBA,45,56
630,631,Student631,F,BTECH,66,23
631,632,Student632,M,BTECH,54,81
632,633,Student633,F,BBA,23,68
633,634,Student634,M,BBA,85,39
634,635,Student635,M,BBA,82,81
635,636,Student636,M,BBA,82,57
636,637,Student637,F,BBA,100,77
637,638,Student638,F,MBA,35,52
638,639,Student639,F,MTECH,32,0
639,640,Student640,M,MBA,58,48
640,641,Student641,M,MTECH,41,55
641,642,Student642,M,MTECH,18,61
642,643,Student643,F,BBA,38,29
643,644,Student644,M,BTECH,19,53
644,645,Student645,F,BTECH,25,92
645,646,Student646,M,BTECH,4,81
646,647,Student647,F,BBA,38,4
647,648,Student648,M,BBA,28,92
648,649,Student649,F,BBA,54,100
649,650,Student650,M,MBA,30,48
650,651,Student651,M,BTECH,55,1
651,652,Student652,M,BTECH,95,32
652,653,Student653,F,BTECH,30,47
653,654,Student654,M,BTECH,79,23
654,655,Student655,F,BBA,89,73
655,656,Student656,F,MTECH,42,44
656,657,Student657,M,BBA,82,7
657,658,Student658,M,BBA,87,54
658,659,Student659,F,MBA,68,49
659,660,Student660,F,BBA,64,58
660,661,Student661,M,BTECH,67,54
661,662,Student662,F,MBA,29,85
662,663,Student663,F,BBA,28,100
663,664,Student664,M,MBA,58,9
664,665,Student665,M,MTECH,54,76
665,666,Student666,F,BBA,28,45
666,667,Student667,M,MBA,49,15
667,668,Student668,M,BBA,94,51
668,669,Student669,M,MTECH,6,58
669,670,Student670,F,BBA,85,94
670,671,Student671,F,BTECH,1,58
671,672,Student672,M,MTECH,24,20
672,673,Student673,F,BBA,25,0
673,674,Student674,M,MTECH,49,91
674,675,Student675,F,BTECH,99,60
675,676,Student676,F,BBA,3,2
676,677,Student677,F,MBA,87,29
677,678,Student678,M,BBA,7,55
678,679,Student679,F,BTECH,30,25
679,680,Student680,F,BBA,73,76
680,681,Student681,F,MBA,79,95
681,682,Student682,F,MBA,26,18
682,683,Student683,F,MTECH,65,82
683,684,Student684,M,BBA,53,75
684,685,Student685,M,BTECH,45,48
685,686,Student686,M,BTECH,93,79
686,687,Student687,F,BTECH,37,47
687,688,Student688,F,BBA,54,50
688,689,Student689,M,MTECH,75,78
689,690,Student690,F,MTECH,15,88
690,691,Student691,M,MTECH,66,24
691,692,Student692,F,BTECH,23,92
692,693,Student693,M,BBA,79,40
693,694,Student694,F,BBA,78,24
694,695,Student695,M,BTECH,62,32
695,696,Student696,M,MBA,75,50
696,697,Student697,M,MBA,31,13
697,698,Student698,M,MBA,22,37
698,699,Student699,F,MBA,94,37
699,700,Student700,M,BTECH,54,17
700,701,Student701,M,MTECH,35,65
701,702,Student702,F,MBA,41,79
702,703,Student703,F,BTECH,17,32
703,704,Student704,M,MTECH,10,10
704,705,Student705,F,MTECH,79,22
705,706,Student706,M,BBA,58,96
706,707,Student707,M,MTECH,33,35
707,708,Student708,M,MTECH,29,99
708,709,Student709,F,BTECH,63,61
709,710,Student710,M,BTECH,49,91
710,711,Student711,F,BBA,4,64
711,712,Student712,F,BBA,18,91
712,713,Student713,M,MBA,31,93
713,714,Student714,F,MBA,9,52
714,715,Student715,F,BBA,65,78
715,716,Student716,M,MTECH,39,34
716,717,Student717,M,MBA,21,33
717,718,Student718,M,BBA,37,12
718,719,Student719,M,BBA,63,76
719,720,Student720,M,MBA,99,27
720,721,Student721,M,MTECH,21,8
721,722,Student722,F,MTECH,35,30
722,723,Student723,F,MBA,84,12
723,724,Student724,F,MBA,68,50
724,725,Student725,F,MBA,18,40
725,726,Student726,M,MTECH,89,32
726,727,Student727,M,MTECH,10,100
727,728,Student728,F,MTECH,16,52
728,729,Student729,F,BBA,11,94
729,730,Student730,F,BTECH,0,92
730,731,Student731,F,MTECH,65,22
731,732,Student732,F,MTECH,3,85
732,733,Student733,F,BTECH,21,47
733,734,Student734,M,MTECH,3,98
734,735,Student735,M,MBA,46,50
735,736,Student736,F,BBA,7,24
736,737,Student737,F,BBA,23,96
737,738,Student738,M,MBA,67,2
738,739,Student739,F,BTECH,11,53
739,740,Student740,F,BBA,26,15
740,741,Student741,F,MBA,36,79
741,742,Student742,F,MBA,29,88
742,743,Student743,F,BBA,27,92
743,744,Student744,F,BBA,76,19
744,745,Student745,M,MTECH,33,98
745,746,Student746,M,BBA,59,99
746,747,Student747,M,MBA,84,27
747,748,Student748,F,BTECH,81,37
748,749,Student749,F,MBA,27,72
749,750,Student750,F,BTECH,46,87
750,751,Student751,M,BTECH,17,98
751,752,Student752,M,BTECH,42,71
752,753,Student753,F,MTECH,93,90
753,754,Student754,F,BBA,88,79
754,755,Student755,F,MBA,83,57
